service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,0,0,0,0,0,0,20230108,20230603
2,0,1,0,1,1,0,0,20230108,20230603
3,0,0,1,0,0,0,0,20230108,20230603
4,0,0,0,0,0,1,0,20230108,20230603
5,0,0,0,0,0,0,1,20230108,20230603
6,0,0,0,1,1,0,0,20230108,20230603
7,1,1,1,1,0,0,0,20230108,20230603
8,0,1,1,1,1,0,0,20230108,20230603
9,1,1,0,1,1,0,0,20230108,20230603
10,1,1,1,1,1,0,0,20230108,20230603
11,1,0,1,0,0,0,0,20230108,20230603
12,0,1,0,1,0,0,0,20230108,20230603
13,0,1,0,0,0,0,0,20230108,20230603
14,0,0,0,1,0,0,0,20230108,20230603
15,0,0,0,0,1,0,0,20230108,20230603
