service_id,date,exception_type
SD_MTTHF,20260330,1
SD,20260330,1
SD_MTTHF,20260331,1
SD,20260331,1
SD_WD,20260401,1
SD,20260401,1
SD_MTTHF,20260402,1
SD,20260402,1
SD_MTTHF,20260403,1
SD,20260403,1
SD_MTTHF,20260406,1
SD,20260406,1
SD_MTTHF,20260407,1
SD,20260407,1
SD_WD,20260408,1
SD,20260408,1
SD_MTTHF,20260409,1
SD,20260409,1
SD_MTTHF,20260410,1
SD,20260410,1
SD_MTTHF,20260413,1
SD,20260413,1
SD_MTTHF,20260414,1
SD,20260414,1
SD_WD,20260415,1
SD,20260415,1
SD_MTTHF,20260416,1
SD,20260416,1
SD_MTTHF,20260417,1
SD,20260417,1
SD_MTTHF,20260420,1
SD,20260420,1
SD_MTTHF,20260421,1
SD,20260421,1
SD_WD,20260422,1
SD,20260422,1
SD_MTTHF,20260423,1
SD,20260423,1
SD_MTTHF,20260424,1
SD,20260424,1
SD_MTTHF,20260427,1
SD,20260427,1
SD_MTTHF,20260428,1
SD,20260428,1
SD_WD,20260429,1
SD,20260429,1
SD_MTTHF,20260430,1
SD,20260430,1
SD_MTTHF,20260501,1
SD,20260501,1
SD_MTTHF,20260504,1
SD,20260504,1
SD_MTTHF,20260505,1
SD,20260505,1
SD_WD,20260506,1
SD,20260506,1
SD_MTTHF,20260507,1
SD,20260507,1
SD_MTTHF,20260508,1
SD,20260508,1
SD_MTTHF,20260511,1
SD,20260511,1
SD_MTTHF,20260512,1
SD,20260512,1
SD_WD,20260513,1
SD,20260513,1
SD_MTTHF,20260514,1
SD,20260514,1
SD_MTTHF,20260515,1
SD,20260515,1
SD_MTTHF,20260518,1
SD,20260518,1
SD_MTTHF,20260519,1
SD,20260519,1
SD_WD,20260520,1
SD,20260520,1
SD_MTTHF,20260521,1
SD,20260521,1
SD_MTTHF,20260522,1
SD,20260522,1
SD_MTTHF,20260525,2
SD,20260525,2
WEEKDAY,20260525,2
SD_MTTHF,20260526,1
SD,20260526,1
SD_WD,20260527,1
SD,20260527,1
SD_MTTHF,20260528,1
SD,20260528,1
SD_MTTHF,20260529,1
SD,20260529,1
SD_MTTHF,20260601,1
SD,20260601,1
SD_MTTHF,20260602,1
SD,20260602,1
SD_WD,20260603,1
SD,20260603,1
SD_MTTHF,20260604,1
SD,20260604,1
SD_MTTHF,20260605,1
SD,20260605,1
