stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1164,831164,Acalanes Ave + Nogales St,Acalanes Avenue and Nogales Street,37.901283,-122.09432,0,,0
1165,831165,Acalanes Rd + Valente Dr,Acalanes Road and Valente Drive,37.888193,-122.15462,0,,0
1166,831166,Acalanes Rd + Hidden Valley Rd,Acalanes Road and Hidden Valley Road,37.886803,-122.15601,0,,1
2094,832094,Pleasanton Ace Train Station,Pleasanton Ace Train Station,37.659113,-121.882374,0,,1
1256,831256,Alhambra Ave + Fresh Start Cafe,Alhambra Avenue and Fresh Start CafT,37.995803,-122.132325,0,,1
1266,831266,Alhambra Ave + Muir Lodge,Alhambra Avenue and Muir Lodge,37.995581,-122.132307,0,,1
2099,832099,Alhambra Ave + Alhambra Valley Rd,Alhambra Avenue and Alhambra Valley Road,37.983955,-122.126229,0,,1
1574,831574,Alcosta Blvd + Bollinger Canyon Rd,Alcosta Boulevard and Bollinger Canyon Road,37.765663,-121.951592,0,,1
1572,831572,Alcosta Blvd + Canyon Hills Dr,Alcosta Boulevard and Canyon Hills Drive,37.759845,-121.944045,0,,1
1573,831573,Alcosta Blvd + Canyon Woods Dr,Alcosta Boulevard and Canyon Woods Drive,37.762796,-121.947522,0,,1
1264,831264,Alhambra Ave + Contra Costa Regional Medical Center,Alhambra Avenue and Contra Costa Regional Medical Center,38.005765,-122.131075,0,,1
1570,831570,Alcosta Blvd + Montevideo Dr,Alcosta Boulevard and Montevideo Drive,37.753983,-121.93868,0,,1
1576,831576,Alcosta Blvd + Woodland Dr,Alcosta Boulevard and Woodland Drive,37.770923,-121.95668,0,,1
1269,831269,Alhambra Ave + Franklin Canyon Rd,Alhambra Avenue and Franklin Canyon Road,37.989076,-122.129287,0,,0
1254,831254,Alhambra Ave + Alhambra Way,Alhambra Avenue and Alhambra Way,37.98695,-122.128135,0,,0
1260,831260,Alhambra Ave + Allen Dr,Alhambra Avenue and Allen Drive,38.00935,-122.131374,0,,1
1258,831258,Alhambra Ave + C St,Alhambra Avenue and C Street,38.005045,-122.130997,0,,1
1265,831265,Alhambra Ave + F St,Alhambra Avenue and F Street,38.000911,-122.13192,0,,1
1257,831257,Alhambra Ave + G St,Alhambra Avenue and G Street,38.000213,-122.13183,0,,1
1267,831267,Alhambra Ave + J St,Alhambra Avenue and J Street,37.997325,-122.132467,0,,1
1275,831275,Alhambra Ave + Benham Dr,Alhambra Avenue and Benham Drive,37.965815,-122.098352,0,,1
1259,831259,Alhambra Ave + Bertola St,Alhambra Avenue and Bertola Street,38.007413,-122.130579,0,,1
1278,831278,Alhambra Ave + Devon Ave,Alhambra Avenue and Devon Avenue,37.955526,-122.090247,0,,1
1423,831423,Alhambra Ave + Elderwood Dr,Alhambra Avenue and Elderwood Drive,37.969836,-122.102247,0,,1
1424,831424,Alhambra Ave + Heritage Oaks Dr,Alhambra Avenue and Heritage Oaks Drive,37.967861,-122.099644,0,,1
1271,831271,Alhambra Ave + Forest Way,Alhambra Avenue and Forest Way,37.982011,-122.11542,0,,1
1274,831274,Alhambra Ave + Glenview Dr,Alhambra Avenue and Glenview Drive,37.969331,-122.101552,0,,1
1261,831261,Alhambra Ave + Jones St,Alhambra Avenue and Jones Street,38.012753,-122.134612,0,,0
1272,831272,Alhambra Ave + Lindsey Dr,Alhambra Avenue and Lindsey Drive,37.975581,-122.1093,0,,1
1251,831251,Alhambra Ave + Macalvey Dr,Alhambra Avenue and Macalvey Drive,37.975148,-122.108664,0,,0
1263,831263,Alhambra Ave + Main St,Alhambra Avenue and Main Street,38.016371,-122.138049,0,,1
1262,831262,Alhambra Ave + Mellus St,Alhambra Avenue and Mellus Street,38.014435,-122.136222,0,,1
1276,831276,Alhambra Ave + Roanoke Dr,Alhambra Avenue and Roanoke Drive,37.962383,-122.096184,0,,1
1421,831421,Alhambra Ave + Rockridge Dr,Alhambra Avenue and Rockridge Drive,37.959996,-122.09408,0,,1
1422,831422,Alhambra Ave + Shetland Dr,Alhambra Avenue and Shetland Drive,37.964455,-122.09728,0,,1
1277,831277,Alhambra Ave + Starbucks,Alhambra Avenue and Starbucks,37.959321,-122.093764,0,,1
1255,831255,Alhambra Ave + Walnut Ave,Alhambra Avenue and Walnut Avenue,37.992401,-122.130777,0,,1
1268,831268,Alhambra Ave + Walnut Ave,Alhambra Avenue and Walnut Avenue,37.992338,-122.130817,0,,1
1250,831250,Alhambra Ave + Wildcroft Dr,Alhambra Avenue and Wildcroft Drive,37.971103,-122.105684,0,,1
1273,831273,Alhambra Ave + Wildcroft Dr,Alhambra Avenue and Wildcroft Drive,37.970551,-122.105207,0,,1
1252,831252,Alhambra Ave + John Muir Rd,Alhambra Avenue and John Muir Road,37.982985,-122.116552,0,,0
1575,831575,Alcosta Blvd + Overlook Dr,Alcosta Boulevard and Overlook Drive,37.768428,-121.954694,0,,1
1253,831253,Alhambra Ave + Phylis Ter,Alhambra Avenue and Phylis Terrace,37.983458,-122.1244,0,,0
1368,831368,Altarinda Rd + Orinda Masonic Center,Altarinda Road and Orinda Masonic Center,37.882486,-122.1846,0,,0
1571,831571,Alcosta Blvd + Terra Alta Dr,Alcosta Boulevard and Terra Alta Drive,37.757358,-121.94059,0,,1
1039,831039,Martinez Amtrak,Martinez Amtrak,38.018576,-122.139182,0,,1
