timetable_id,stop_id,stop_sequence
12,1162,1
12,1322,2
12,1355,3
12,1402,4
12,1366,5
12,1407,6
12,1366,7
19,888,1
19,531,2
19,538,3
19,854,4
19,542,5
19,498,6
19,454,7
19,447,8
25,1073,1
25,832,2
25,838,3
25,553,4
25,869,5
25,765,6
25,889,7
25,624,8
25,883,9
43,2052,1
43,1578,2
43,1588,3
43,2026,4
43,2052,5
43,1681,6
43,2046,7
43,2112,8
43,2049,9
43,1160,10
44,1160,1
44,2030,2
44,2105,3
44,2002,4
44,2033,5
44,2026,6
44,2052,7
48,1779,1
48,1075,2
48,2052,3
48,1555,4
48,1554,5
48,2257,6
48,2094,7
49,2094,1
49,2257,2
49,1554,3
49,2052,4
49,1555,5
49,1075,6
49,1778,7
62,888,1
62,531,2
62,538,3
62,854,4
62,542,5
62,498,6
62,454,7
63,447,1
63,451,2
63,854,3
63,546,4
63,553,5
63,883,6
65,886,1
65,629,2
65,677,3
65,1982,4
65,1074,5
65,2249,6
65,2181,7
65,2249,8
