timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,orientation,timetable_page_id,timetable_sequence,direction_name,show_trip_continuation
1,1,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,1,0,,1
2,1,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,1,1,,1
3,4,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,4,0,,1
4,4,0,20251109,20260111,0,0,0,0,0,1,1,,,vertical,4,2,,1
5,5,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,5,0,,1
6,5,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,5,1,,1
7,6,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,6,0,,1
8,6,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,6,1,,1
9,6,0,20251109,20260111,0,0,0,0,0,1,1,,,vertical,6,2,,1
10,6,1,20251109,20260111,0,0,0,0,0,1,1,,,vertical,6,3,,1
11,7,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,7,0,,1
12,9,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,9,0,Walnut Creek BART via Pleasant Hill BART,1
13,9,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,9,1,DVC/Pleasant Hill BART,1
14,10,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,10,0,,1
15,10,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,10,1,,1
16,11,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,11,0,,1
17,11,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,11,1,Pleasant Hill BART,1
18,14,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,14,0,Walnut Creek BART via Pleasant Hill BART,1
19,14,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,14,1,Concord BART via Pleasant Hill BART,1
20,15,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,15,0,,1
21,15,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,15,1,,1
22,16,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,16,0,Martinez Amtrak via Downtown Pleasant Hill,1
23,16,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,16,1,Concord BART via Downtown Pleasant Hill,1
24,17,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,17,0,North Concord BART John Muir Concord,1
25,17,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,17,1,Concord BART John Muir Concord,1
26,18,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,18,0,Pleasant Hill BART,1
27,18,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,18,1,,1
28,19,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,19,0,,1
29,19,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,19,1,,1
30,20,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,20,0,,1
31,20,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,20,1,,1
32,21,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,21,0,San Ramon Transit Center,1
33,21,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,21,1,,1
34,28,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,28,0,,1
35,28,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,28,1,,1
36,35,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,35,0,Dublin BART Via Bollinger Canyon,1
37,35,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,35,1,San Ramon Via Bollinger Canyon,1
38,91X,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,91x,0,,1
39,92X,0,20251109,20260111,1,1,1,1,1,0,0,,,vertical,92x,0,,1
40,92X,1,20251109,20260111,1,1,1,1,1,0,0,,,vertical,92x,1,Mitchell Park & Ride,1
