trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
576427,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11011,1,1,shp-1-52
576428,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11021,1,1,shp-1-52
576429,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11011,1,1,shp-1-52
576430,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11021,1,1,shp-1-52
576431,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11011,1,1,shp-1-52
576432,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11022,1,1,shp-1-52
576433,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11011,1,1,shp-1-52
576434,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11023,1,1,shp-1-52
576435,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11015,1,1,shp-1-52
576436,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11023,1,1,shp-1-52
576437,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11015,1,1,shp-1-52
576438,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11023,1,1,shp-1-52
576439,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11015,1,1,shp-1-52
576440,1,WEEKDAY,Rossmoor via Walnut Creek BART,,0,11023,1,1,shp-1-52
576441,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11011,1,1,shp-1-01
576442,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11021,1,1,shp-1-01
576443,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11021,1,1,shp-1-01
576444,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11011,1,1,shp-1-01
576445,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11022,1,1,shp-1-01
576446,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11011,1,1,shp-1-01
576447,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11023,1,1,shp-1-01
576448,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11015,1,1,shp-1-01
576449,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11023,1,1,shp-1-01
576450,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11015,1,1,shp-1-01
576451,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11023,1,1,shp-1-01
576452,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11015,1,1,shp-1-01
576453,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11023,1,1,shp-1-01
576454,1,WEEKDAY,Shadelands via Walnut Creek BART,,1,11015,1,1,shp-1-01
576455,10,WEEKDAY,Clayton,,0,101021,1,1,shp-10-01
576456,10,WEEKDAY,Clayton,,0,101041,1,1,shp-10-01
576457,10,WEEKDAY,Clayton,,0,101021,1,1,shp-10-01
576458,10,WEEKDAY,Clayton,,0,101041,1,1,shp-10-01
576459,10,WEEKDAY,Clayton,,0,101021,1,1,shp-10-01
576460,10,WEEKDAY,Clayton,,0,101041,1,1,shp-10-01
576461,10,WEEKDAY,Clayton,,0,101021,1,1,shp-10-01
576462,10,WEEKDAY,Clayton,,0,101041,1,1,shp-10-01
576463,10,WEEKDAY,Clayton,,0,101021,1,1,shp-10-01
576464,10,WEEKDAY,Clayton,,0,101085,1,1,shp-10-01
576465,10,WEEKDAY,Clayton,,0,101075,1,1,shp-10-01
576466,10,WEEKDAY,Clayton,,0,101101,1,1,shp-10-01
576467,10,WEEKDAY,Clayton,,0,101125,1,1,shp-10-01
576468,10,WEEKDAY,Clayton,,0,101095,1,1,shp-10-01
576469,10,WEEKDAY,Clayton,,0,101115,1,1,shp-10-01
576470,10,WEEKDAY,Clayton,,0,101135,1,1,shp-10-01
576471,10,WEEKDAY,Clayton,,0,101125,1,1,shp-10-01
576472,10,WEEKDAY,Clayton,,0,101095,1,1,shp-10-01
576473,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101011,1,1,shp-10-03
576474,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101011,1,1,shp-10-03
576475,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101031,1,1,shp-10-03
576476,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101011,1,1,shp-10-03
576477,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101031,1,1,shp-10-03
576478,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101101,1,1,shp-10-03
576479,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101031,1,1,shp-10-03
576480,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101101,1,1,shp-10-03
576481,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101031,1,1,shp-10-03
576482,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101095,1,1,shp-10-03
576483,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101115,1,1,shp-10-03
576484,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101031,1,1,shp-10-03
576485,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101145,1,1,shp-10-03
576486,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101085,1,1,shp-10-03
576487,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101075,1,1,shp-10-03
576488,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101101,1,1,shp-10-03
576489,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101145,1,1,shp-10-03
576490,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101085,1,1,shp-10-03
576491,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101115,1,1,shp-10-03
576492,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101135,1,1,shp-10-03
576493,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101125,1,1,shp-10-03
576494,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101095,1,1,shp-10-03
576495,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101115,1,1,shp-10-03
576496,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101135,1,1,shp-10-03
576497,10,WEEKDAY,Washington/Clayton via Clayton Rd,,0,101125,1,1,shp-10-03
576498,10,WEEKDAY,Concord BART,,1,101021,1,1,shp-10-51
576499,10,WEEKDAY,Concord BART,,1,101041,1,1,shp-10-51
576500,10,WEEKDAY,Concord BART,,1,101021,1,1,shp-10-51
576501,10,WEEKDAY,Concord BART,,1,101041,1,1,shp-10-51
576502,10,WEEKDAY,Concord BART,,1,101021,1,1,shp-10-51
576503,10,WEEKDAY,Concord BART,,1,101041,1,1,shp-10-51
576504,10,WEEKDAY,Concord BART,,1,101021,1,1,shp-10-51
576505,10,WEEKDAY,Concord BART,,1,101041,1,1,shp-10-51
576506,10,WEEKDAY,Concord BART,,1,101021,1,1,shp-10-51
576507,10,WEEKDAY,Concord BART,,1,101085,1,1,shp-10-51
576508,10,WEEKDAY,Concord BART,,1,101075,1,1,shp-10-51
576509,10,WEEKDAY,Concord BART,,1,101101,1,1,shp-10-51
576510,10,WEEKDAY,Concord BART,,1,101125,1,1,shp-10-51
576511,10,WEEKDAY,Concord BART,,1,101095,1,1,shp-10-51
576512,10,WEEKDAY,Concord BART,,1,101115,1,1,shp-10-51
576513,10,WEEKDAY,Concord BART,,1,101135,1,1,shp-10-51
576514,10,WEEKDAY,Concord BART,,1,101125,1,1,shp-10-51
576515,10,WEEKDAY,Concord BART,,1,101095,1,1,shp-10-51
576516,10,WEEKDAY,Concord BART,,1,101011,1,1,shp-10-53
576517,10,WEEKDAY,Concord BART,,1,101031,1,1,shp-10-53
576518,10,WEEKDAY,Concord BART,,1,101011,1,1,shp-10-53
576519,10,WEEKDAY,Concord BART,,1,101031,1,1,shp-10-53
576520,10,WEEKDAY,Concord BART,,1,101101,1,1,shp-10-53
576521,10,WEEKDAY,Concord BART,,1,101031,1,1,shp-10-53
576522,10,WEEKDAY,Concord BART,,1,101101,1,1,shp-10-53
576523,10,WEEKDAY,Concord BART,,1,101031,1,1,shp-10-53
576524,10,WEEKDAY,Concord BART,,1,101095,1,1,shp-10-53
576525,10,WEEKDAY,Concord BART,,1,101115,1,1,shp-10-53
576526,10,WEEKDAY,Concord BART,,1,101031,1,1,shp-10-53
576527,10,WEEKDAY,Concord BART,,1,101145,1,1,shp-10-53
